key,service,resource_name,asset_class,identity_rule,parent_params,required_args,collect,reason
apigatewayv2.model,apigatewayv2,Model,artifact,none,,,no,no read operation; cannot be collected
apigatewayv2.route_response,apigatewayv2,RouteResponse,artifact,none,,,no,no read operation; cannot be collected
apigatewayv2.routing_rule,apigatewayv2,RoutingRule,artifact,none,,,no,no read operation; cannot be collected
appconfig.account_setting,appconfig,account_setting,artifact,none,,,no,"name denotes an API readout, not a resource"
appconfig.tags_for_resource,appconfig,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
appfabric.tags_for_resource,appfabric,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
appflow.tags_for_resource,appflow,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
appintegrations.tags_for_resource,appintegrations,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
application-autoscaling.predictive_scaling_forecast,application-autoscaling,predictive_scaling_forecast,artifact,none,,,no,"name denotes an API readout, not a resource"
application-autoscaling.tags_for_resource,application-autoscaling,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
application-insights.component_configuration_recommendation,application-insights,component_configuration_recommendation,artifact,none,,,no,"name denotes an API readout, not a resource"
application-insights.configuration_history,application-insights,configuration_history,artifact,none,,,no,returns a list but declares no id field
application-insights.observation,application-insights,observation,artifact,none,,,no,"name denotes an API readout, not a resource"
application-insights.problem_observation,application-insights,problem_observation,artifact,none,,,no,"name denotes an API readout, not a resource"
application-insights.tags_for_resource,application-insights,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
application-signals.audit_finding,application-signals,audit_finding,artifact,none,,,no,"name denotes an API readout, not a resource"
application-signals.entity_event,application-signals,entity_event,artifact,none,,,no,"name denotes an API readout, not a resource"
application-signals.grouping_attribute_definition,application-signals,grouping_attribute_definition,artifact,none,,,no,returns a list but declares no id field
application-signals.service,application-signals,service,artifact,none,,,no,returns a list but declares no id field
application-signals.service_dependency,application-signals,service_dependency,artifact,none,,,no,returns a list but declares no id field
application-signals.service_dependent,application-signals,service_dependent,artifact,none,,,no,returns a list but declares no id field
application-signals.service_level_objective_exclusion_window,application-signals,service_level_objective_exclusion_window,artifact,none,,,no,returns a list but declares no id field
application-signals.service_state,application-signals,service_state,artifact,none,,,no,returns a list but declares no id field
application-signals.tags_for_resource,application-signals,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
application-autoscaling.scalable_target,applicationautoscaling,ScalableTarget,artifact,none,,,no,no read operation; cannot be collected
application-autoscaling.scaling_policy,applicationautoscaling,ScalingPolicy,artifact,none,,,no,no read operation; cannot be collected
application-insights.application,applicationinsights,Application,artifact,none,,,no,no read operation; cannot be collected
application-signals.discovery,applicationsignals,Discovery,artifact,none,,,no,no read operation; cannot be collected
application-signals.grouping_configuration,applicationsignals,GroupingConfiguration,artifact,none,,,no,no read operation; cannot be collected
application-signals.service_level_objective,applicationsignals,ServiceLevelObjective,artifact,none,,,no,no read operation; cannot be collected
appmesh.tags_for_resource,appmesh,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
apprunner.tags_for_resource,apprunner,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
appstream.application_entitlement_association,appstream,ApplicationEntitlementAssociation,artifact,none,,,no,no read operation; cannot be collected
appstream.entitlement,appstream,Entitlement,artifact,none,,,no,no read operation; cannot be collected
appstream.image,appstream,image,artifact,none,,,no,"DescribeImages returns AWS's public AppStream base images alongside any of ours. 48 rows here, none of them ours."
appstream.stack_fleet_association,appstream,StackFleetAssociation,artifact,none,,,no,no read operation; cannot be collected
appstream.stack_user_association,appstream,StackUserAssociation,artifact,none,,,no,no read operation; cannot be collected
appstream.user,appstream,User,artifact,none,,,no,no read operation; cannot be collected
appsync.api_cache,appsync,ApiCache,artifact,none,,,no,no read operation; cannot be collected
appsync.api_key,appsync,ApiKey,artifact,none,,,no,no read operation; cannot be collected
appsync.channel_namespace,appsync,ChannelNamespace,artifact,none,,,no,no read operation; cannot be collected
appsync.data_source,appsync,DataSource,artifact,none,,,no,no read operation; cannot be collected
appsync.domain_name_api_association,appsync,DomainNameApiAssociation,artifact,none,,,no,no read operation; cannot be collected
appsync.function_configuration,appsync,FunctionConfiguration,artifact,none,,,no,no read operation; cannot be collected
appsync.graph_ql_schema,appsync,GraphQLSchema,artifact,none,,,no,no read operation; cannot be collected
appsync.resolver,appsync,Resolver,artifact,none,,,no,no read operation; cannot be collected
appsync.source_api_association,appsync,SourceApiAssociation,artifact,none,,,no,no read operation; cannot be collected
apptest.test_case,apptest,TestCase,artifact,none,,,no,no read operation; cannot be collected
aps.anomaly_detector,aps,AnomalyDetector,artifact,none,,,no,no read operation; cannot be collected
aps.resource_policy,aps,ResourcePolicy,artifact,none,,,no,no read operation; cannot be collected
aps.rule_groups_namespace,aps,RuleGroupsNamespace,artifact,none,,,no,no read operation; cannot be collected
aps.scraper,aps,Scraper,artifact,none,,,no,no read operation; cannot be collected
aps.workspace,aps,Workspace,artifact,none,,,no,no read operation; cannot be collected
arc-region-switch.plan_evaluation_status,arc-region-switch,plan_evaluation_statu,artifact,none,,,no,returns a list but declares no id field
arc-region-switch.plan_execution_event,arc-region-switch,plan_execution_event,artifact,none,,,no,returns a list but declares no id field
arc-region-switch.route53_health_check,arc-region-switch,route53_health_check,artifact,none,,,no,returns a list but declares no id field
arc-region-switch.tags_for_resource,arc-region-switch,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
arc-zonal-shift.autoshift,arc-zonal-shift,autoshift,artifact,none,,,no,returns a list but declares no id field
arc-zonal-shift.autoshift_observer_notification_status,arc-zonal-shift,autoshift_observer_notification_statu,artifact,none,,,no,returns a list but declares no id field
arc-region-switch.plan,arcregionswitch,Plan,artifact,none,,,no,no read operation; cannot be collected
arc-zonal-shift.zonal_autoshift_configuration,arczonalshift,ZonalAutoshiftConfiguration,artifact,none,,,no,no read operation; cannot be collected
artifact.account_setting,artifact,account_setting,artifact,none,,,no,"name denotes an API readout, not a resource"
artifact.report,artifact,report,artifact,none,,,no,"name denotes an API readout, not a resource"
artifact.report_metadata,artifact,report_metadata,artifact,none,,,no,"name denotes an API readout, not a resource"
artifact.term_for_report,artifact,term_for_report,artifact,none,,,no,"name denotes an API readout, not a resource"
ask.skill,ask,Skill,artifact,none,,,no,no read operation; cannot be collected
athena.prepared_statement,athena,PreparedStatement,artifact,none,,,no,no read operation; cannot be collected
auditmanager.assessment_report,auditmanager,assessment_report,artifact,none,,,no,"name denotes an API readout, not a resource"
auditmanager.control_domain_insight,auditmanager,control_domain_insight,artifact,none,,,no,"name denotes an API readout, not a resource"
auditmanager.insight,auditmanager,insight,artifact,none,,,no,"name denotes an API readout, not a resource"
auditmanager.tags_for_resource,auditmanager,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
autoscaling.lifecycle_hook,autoscaling,LifecycleHook,artifact,none,,,no,no read operation; cannot be collected
autoscaling.notification_configuration,autoscaling,notification_configuration,artifact,none,,,no,returns a list but declares no id field
autoscaling.warm_pool,autoscaling,WarmPool,artifact,none,,,no,no read operation; cannot be collected
autoscaling-plans.scaling_plan,autoscalingplans,ScalingPlan,artifact,none,,,no,no read operation; cannot be collected
awsexternalanthropic.workspace,awsexternalanthropic,Workspace,artifact,none,,,no,no read operation; cannot be collected
b2bi.tags_for_resource,b2bi,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
backup.logically_air_gapped_backup_vault,backup,LogicallyAirGappedBackupVault,artifact,none,,,no,no read operation; cannot be collected
backup.protected_resource,backup,protected_resource,artifact,none,,,no,returns a list but declares no id field
backup-gateway.tags_for_resource,backup-gateway,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
backup-gateway.hypervisor,backupgateway,Hypervisor,artifact,none,,,no,no read operation; cannot be collected
backupsearch.search_job,backupsearch,search_job,artifact,none,,,no,returns a list but declares no id field
backupsearch.search_job_backup,backupsearch,search_job_backup,artifact,none,,,no,returns a list but declares no id field
backupsearch.search_job_result,backupsearch,search_job_result,artifact,none,,,no,"name denotes an API readout, not a resource"
backupsearch.search_result_export_job,backupsearch,search_result_export_job,artifact,none,,,no,returns a list but declares no id field
backupsearch.tags_for_resource,backupsearch,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
batch.quota_share,batch,QuotaShare,artifact,none,,,no,no read operation; cannot be collected
bcm.dashboard,bcm,Dashboard,artifact,none,,,no,no read operation; cannot be collected
bcm-dashboards.dashboard,bcm-dashboards,dashboard,artifact,none,,,no,returns a list but declares no id field
bcm-dashboards.resource_policy,bcm-dashboards,resource_policy,artifact,none,,,no,returns a list but declares no id field
bcm-dashboards.tags_for_resource,bcm-dashboards,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
bcm-data-exports.tags_for_resource,bcm-data-exports,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
bcm-pricing-calculator.bill_estimate,bcm-pricing-calculator,bill_estimate,artifact,none,,,no,"name denotes an API readout, not a resource"
bcm-pricing-calculator.preference,bcm-pricing-calculator,preference,artifact,none,,,no,returns a list but declares no id field
bcm-pricing-calculator.tags_for_resource,bcm-pricing-calculator,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
bcm-pricing-calculator.workload_estimate,bcm-pricing-calculator,workload_estimate,artifact,none,,,no,"name denotes an API readout, not a resource"
bcm-pricing-calculator.workload_estimate_usage,bcm-pricing-calculator,workload_estimate_usage,artifact,none,,,no,"name denotes an API readout, not a resource"
bcm-data-exports.export,bcmdataexports,Export,artifact,none,,,no,no read operation; cannot be collected
bcm-pricing-calculator.bill_scenario,bcmpricingcalculator,BillScenario,artifact,none,,,no,no read operation; cannot be collected
bedrock.agent,bedrock,Agent,artifact,none,,,no,no read operation; cannot be collected
bedrock.agent_alias,bedrock,AgentAlias,artifact,none,,,no,no read operation; cannot be collected
bedrock.application_inference_profile,bedrock,ApplicationInferenceProfile,artifact,none,,,no,no read operation; cannot be collected
bedrock.automated_reasoning_policy_version,bedrock,AutomatedReasoningPolicyVersion,artifact,none,,,no,no read operation; cannot be collected
bedrock.bedrock_custom_model,bedrock,bedrock-custom-model,artifact,none,,,no,no read operation; cannot be collected
bedrock.blueprint,bedrock,Blueprint,artifact,none,,,no,no read operation; cannot be collected
bedrock.data_automation_library,bedrock,DataAutomationLibrary,artifact,none,,,no,no read operation; cannot be collected
bedrock.data_automation_project,bedrock,DataAutomationProject,artifact,none,,,no,no read operation; cannot be collected
bedrock.data_source,bedrock,DataSource,artifact,none,,,no,no read operation; cannot be collected
bedrock.enforced_guardrail_configuration,bedrock,EnforcedGuardrailConfiguration,artifact,none,,,no,no read operation; cannot be collected
bedrock.flow,bedrock,Flow,artifact,none,,,no,no read operation; cannot be collected
bedrock.flow_alias,bedrock,FlowAlias,artifact,none,,,no,no read operation; cannot be collected
bedrock.flow_version,bedrock,FlowVersion,artifact,none,,,no,no read operation; cannot be collected
bedrock.guardrail_version,bedrock,GuardrailVersion,artifact,none,,,no,no read operation; cannot be collected
bedrock.intelligent_prompt_router,bedrock,IntelligentPromptRouter,artifact,none,,,no,no read operation; cannot be collected
bedrock.knowledge_base,bedrock,KnowledgeBase,artifact,none,,,no,no read operation; cannot be collected
bedrock.knowledge_base_policy,bedrock,KnowledgeBasePolicy,artifact,none,,,no,no read operation; cannot be collected
bedrock.marketplace_model_endpoint,bedrock,marketplace_model_endpoint,artifact,none,,,no,returns a list but declares no id field
bedrock.model_copy_job,bedrock,model_copy_job,artifact,none,,,no,returns a list but declares no id field
bedrock.model_import_job,bedrock,model_import_job,artifact,none,,,no,returns a list but declares no id field
bedrock.model_invocation_job,bedrock,model_invocation_job,artifact,none,,,no,returns a list but declares no id field
bedrock.prompt,bedrock,Prompt,artifact,none,,,no,no read operation; cannot be collected
bedrock.prompt_version,bedrock,PromptVersion,artifact,none,,,no,no read operation; cannot be collected
bedrock.provisioned_model_throughput,bedrock,provisioned_model_throughput,artifact,none,,,no,returns a list but declares no id field
bedrock.resource_policy,bedrock,ResourcePolicy,artifact,none,,,no,no read operation; cannot be collected
bedrock-agent.tags_for_resource,bedrock-agent,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
bedrock-agent-runtime.agent_memory,bedrock-agent-runtime,agent_memory,artifact,none,,,no,returns a list but declares no id field
bedrock-agent-runtime.execution_flow_snapshot,bedrock-agent-runtime,execution_flow_snapshot,artifact,none,,,no,returns a list but declares no id field
bedrock-agent-runtime.flow_execution,bedrock-agent-runtime,flow_execution,artifact,none,,,no,returns a list but declares no id field
bedrock-agent-runtime.flow_execution_event,bedrock-agent-runtime,flow_execution_event,artifact,none,,,no,returns a list but declares no id field
bedrock-agent-runtime.tags_for_resource,bedrock-agent-runtime,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
bedrockagentcore.agent_card,bedrock-agentcore,agent_card,artifact,none,,,no,returns a list but declares no id field
bedrockagentcore.browser_session,bedrock-agentcore,browser_session,artifact,none,,,no,returns a list but declares no id field
bedrockagentcore.memory_extraction_job,bedrock-agentcore,memory_extraction_job,artifact,none,,,no,returns a list but declares no id field
bedrockagentcore.resource_api_key,bedrock-agentcore,resource_api_key,artifact,none,,,no,returns a list but declares no id field
bedrockagentcore.resource_oauth2_token,bedrock-agentcore,resource_oauth2_token,artifact,none,,,no,returns a list but declares no id field
bedrockagentcore.workload_access_token,bedrock-agentcore,workload_access_token,artifact,none,,,no,returns a list but declares no id field
bedrockagentcore.workload_access_token_for_jwt,bedrock-agentcore,workload_access_token_for_jwt,artifact,none,,,no,returns a list but declares no id field
bedrockagentcore.workload_access_token_for_user_id,bedrock-agentcore,workload_access_token_for_user_id,artifact,none,,,no,returns a list but declares no id field
bedrock-agentcore-control.agent_runtime,bedrock-agentcore-control,agent_runtime,artifact,none,,,no,returns a list but declares no id field
bedrock-agentcore-control.agent_runtime_version,bedrock-agentcore-control,agent_runtime_version,artifact,none,,,no,returns a list but declares no id field
bedrock-agentcore-control.api_key_credential_provider,bedrock-agentcore-control,api_key_credential_provider,artifact,none,,,no,returns a list but declares no id field
bedrock-agentcore-control.browser,bedrock-agentcore-control,browser,artifact,none,,,no,returns a list but declares no id field
bedrock-agentcore-control.code_interpreter,bedrock-agentcore-control,code_interpreter,artifact,none,,,no,returns a list but declares no id field
bedrock-agentcore-control.oauth2_credential_provider,bedrock-agentcore-control,oauth2_credential_provider,artifact,none,,,no,returns a list but declares no id field
bedrock-agentcore-control.tags_for_resource,bedrock-agentcore-control,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
bedrock-data-automation.data_automation_project,bedrock-data-automation,data_automation_project,artifact,none,,,no,returns a list but declares no id field
bedrock-data-automation.tags_for_resource,bedrock-data-automation,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
bedrock-data-automation-runtime.data_automation_status,bedrock-data-automation-runtime,data_automation_statu,artifact,none,,,no,returns a list but declares no id field
bedrock-data-automation-runtime.tags_for_resource,bedrock-data-automation-runtime,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
bedrock-runtime.async_invoke,bedrock-runtime,async_invoke,artifact,none,,,no,returns a list but declares no id field
bedrockagentcore.api_key_credential_provider,bedrockagentcore,ApiKeyCredentialProvider,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.browser_custom,bedrockagentcore,BrowserCustom,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.browser_profile,bedrockagentcore,BrowserProfile,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.code_interpreter_custom,bedrockagentcore,CodeInterpreterCustom,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.configuration_bundle,bedrockagentcore,ConfigurationBundle,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.dataset,bedrockagentcore,Dataset,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.evaluator,bedrockagentcore,Evaluator,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.gateway,bedrockagentcore,Gateway,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.gateway_target,bedrockagentcore,GatewayTarget,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.harness,bedrockagentcore,Harness,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.harness_endpoint,bedrockagentcore,HarnessEndpoint,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.memory,bedrockagentcore,Memory,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.o_auth2_credential_provider,bedrockagentcore,OAuth2CredentialProvider,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.online_evaluation_config,bedrockagentcore,OnlineEvaluationConfig,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.payment_connector,bedrockagentcore,PaymentConnector,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.payment_credential_provider,bedrockagentcore,PaymentCredentialProvider,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.payment_manager,bedrockagentcore,PaymentManager,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.policy,bedrockagentcore,Policy,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.policy_engine,bedrockagentcore,PolicyEngine,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.resource_policy,bedrockagentcore,ResourcePolicy,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.runtime,bedrockagentcore,Runtime,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.runtime_endpoint,bedrockagentcore,RuntimeEndpoint,artifact,none,,,no,no read operation; cannot be collected
bedrockagentcore.workload_identity,bedrockagentcore,WorkloadIdentity,artifact,none,,,no,no read operation; cannot be collected
bedrockmantle.project,bedrockmantle,Project,artifact,none,,,no,no read operation; cannot be collected
billing.resource_policy,billing,resource_policy,artifact,none,,,no,returns a list but declares no id field
billing.tags_for_resource,billing,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
billingconductor.billing_group_cost_report,billingconductor,billing_group_cost_report,artifact,none,,,no,"name denotes an API readout, not a resource"
billingconductor.pricing_plan,billingconductor,PricingPlan,artifact,none,,,no,"AWS's own catalogue, not an asset of this account"
billingconductor.pricing_plans_associated_with_pricing_rule,billingconductor,pricing_plans_associated_with_pricing_rule,artifact,none,,,no,"AWS's own catalogue, not an asset of this account"
billingconductor.pricing_rule,billingconductor,PricingRule,artifact,none,,,no,"AWS's own catalogue, not an asset of this account"
billingconductor.pricing_rules_associated_to_pricing_plan,billingconductor,pricing_rules_associated_to_pricing_plan,artifact,none,,,no,"AWS's own catalogue, not an asset of this account"
billingconductor.tags_for_resource,billingconductor,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
braket.spending_limit,braket,SpendingLimit,artifact,none,,,no,"name denotes an API readout, not a resource"
braket.tags_for_resource,braket,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
budgets.budgets_action,budgets,BudgetsAction,artifact,none,,,no,no read operation; cannot be collected
cases.case_rule,cases,CaseRule,artifact,none,,,no,no read operation; cannot be collected
cases.domain,cases,Domain,artifact,none,,,no,no read operation; cannot be collected
cases.field,cases,Field,artifact,none,,,no,no read operation; cannot be collected
cases.layout,cases,Layout,artifact,none,,,no,no read operation; cannot be collected
cases.template,cases,Template,artifact,none,,,no,no read operation; cannot be collected
cassandra.keyspace,cassandra,Keyspace,artifact,none,,,no,no read operation; cannot be collected
cassandra.table,cassandra,Table,artifact,none,,,no,no read operation; cannot be collected
cassandra.type,cassandra,Type,artifact,none,,,no,no read operation; cannot be collected
ce.anomaly,ce,anomaly,artifact,none,,,no,"name denotes an API readout, not a resource"
ce.commitment_purchase_analys,ce,commitment_purchase_analys,artifact,none,,,no,returns a list but declares no id field
ce.commitment_purchase_analysis,ce,commitment_purchase_analysi,artifact,none,,,no,returns a list but declares no id field
ce.cost_allocation_tag_backfill_history,ce,cost_allocation_tag_backfill_history,artifact,none,,,no,returns a list but declares no id field
ce.cost_and_usage,ce,cost_and_usage,artifact,none,,,no,"name denotes an API readout, not a resource"
ce.cost_and_usage_comparison,ce,cost_and_usage_comparison,artifact,none,,,no,returns a list but declares no id field
ce.cost_comparison_driver,ce,cost_comparison_driver,artifact,none,,,no,returns a list but declares no id field
ce.cost_forecast,ce,cost_forecast,artifact,none,,,no,"name denotes an API readout, not a resource"
ce.reservation_purchase_recommendation,ce,reservation_purchase_recommendation,artifact,none,,,no,"name denotes an API readout, not a resource"
ce.rightsizing_recommendation,ce,rightsizing_recommendation,artifact,none,,,no,"name denotes an API readout, not a resource"
ce.savings_plans_purchase_recommendation,ce,savings_plans_purchase_recommendation,artifact,none,,,no,"name denotes an API readout, not a resource"
ce.savings_plans_purchase_recommendation_generation,ce,savings_plans_purchase_recommendation_generation,artifact,none,,,no,returns a list but declares no id field
ce.tag,ce,tag,artifact,none,,,no,"name denotes an API readout, not a resource"
ce.tags_for_resource,ce,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
ce.usage_forecast,ce,usage_forecast,artifact,none,,,no,"name denotes an API readout, not a resource"
chatbot.account_preference,chatbot,account_preference,artifact,none,,,no,"name denotes an API readout, not a resource"
chatbot.association,chatbot,association,artifact,none,,,no,returns a list but declares no id field
chatbot.chime_webhook_configuration,chatbot,chime_webhook_configuration,artifact,none,,,no,returns a list but declares no id field
chatbot.microsoft_teams_configured_team,chatbot,microsoft_teams_configured_team,artifact,none,,,no,returns a list but declares no id field
chatbot.microsoft_teams_user_identity,chatbot,microsoft_teams_user_identity,artifact,none,,,no,returns a list but declares no id field
chatbot.slack_user_identity,chatbot,slack_user_identity,artifact,none,,,no,returns a list but declares no id field
chatbot.slack_workspace,chatbot,slack_workspace,artifact,none,,,no,returns a list but declares no id field
chatbot.tags_for_resource,chatbot,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
chime.account_setting,chime,account_setting,artifact,none,,,no,"name denotes an API readout, not a resource"
chime.app_instance_bot,chime,AppInstanceBot,artifact,none,,,no,no read operation; cannot be collected
chime.app_instance_user,chime,AppInstanceUser,artifact,none,,,no,no read operation; cannot be collected
chime.supported_phone_number_country,chime,supported_phone_number_country,artifact,none,,,no,"AWS's own catalogue, not an asset of this account"
chime-sdk-identity.tags_for_resource,chime-sdk-identity,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
chime-sdk-media-pipelines.tags_for_resource,chime-sdk-media-pipelines,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
chime-sdk-meetings.tags_for_resource,chime-sdk-meetings,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
chime-sdk-messaging.tags_for_resource,chime-sdk-messaging,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
chime-sdk-voice.supported_phone_number_country,chime-sdk-voice,supported_phone_number_country,artifact,none,,,no,"AWS's own catalogue, not an asset of this account"
chime-sdk-voice.tags_for_resource,chime-sdk-voice,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
chime-sdk-voice.voice_connector_external_systems_configuration,chime-sdk-voice,voice_connector_external_systems_configuration,artifact,none,,,no,returns a list but declares no id field
cleanrooms.configured_table_association_analysis_rule,cleanrooms,configured_table_association_analysis_rule,artifact,none,,,no,returns a list but declares no id field
cleanrooms.intermediate_table,cleanrooms,IntermediateTable,artifact,none,,,no,no read operation; cannot be collected
cleanrooms.tags_for_resource,cleanrooms,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
cleanroomsml.ml_configuration,cleanroomsml,ml_configuration,artifact,none,,,no,returns a list but declares no id field
cleanroomsml.tags_for_resource,cleanroomsml,tags_for_resource,artifact,none,,,no,"name denotes an API readout, not a resource"
