source_key,source_c7n,source_service,source_path,path_kind,target_key,target_c7n,edge_type,source,confidence,resolution,operation,evidence,corroborated_by,runnable,verdict,observed_sources,observed_hits,hit_rate,resolved_targets,dangling_targets,condition_violations,verdict_detail,verified_at
amplify.branch,,amplify,branch.pullRequestEnvironmentName,dotted,codecommit.pull_request,,references,doc,medium,global-exact,get_branch,amplify.GetBranch,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplify.branch,,amplify,pullRequestEnvironmentName,scalar,codecommit.pull_request,,references,doc,medium,global-exact,list_branches,amplify.ListBranches,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplify.domain_association,,amplify,domainAssociation.domainName,dotted,amplify.domain,,references,doc,medium,service-exact,get_domain_association,amplify.GetDomainAssociation,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplify.domain_association,,amplify,domainName,scalar,amplify.domain,,references,doc,medium,service-exact,list_domain_associations,amplify.ListDomainAssociations,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplifybackend.backend_api,,amplifybackend,BackendEnvironmentName,scalar,amplifybackend.backend,,references,doc,medium,service-exact,get_backend_api,amplifybackend.GetBackendAPI,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplifybackend.backend_auth,,amplifybackend,BackendEnvironmentName,scalar,amplifybackend.backend,,references,doc,medium,service-exact,get_backend_auth,amplifybackend.GetBackendAuth,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplifybackend.backend_job,,amplifybackend,BackendEnvironmentName,scalar,amplifybackend.backend,,references,doc,medium,service-exact,get_backend_job,amplifybackend.GetBackendJob,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplifybackend.backend_storage,,amplifybackend,BackendEnvironmentName,scalar,amplifybackend.backend,,references,doc,medium,service-exact,get_backend_storage,amplifybackend.GetBackendStorage,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplifybackend.backend_storage,,amplifybackend,ResourceConfig.BucketName,dotted,s3.bucket,s3,references,doc,medium,well-known,get_backend_storage,amplifybackend.GetBackendStorage,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
amplifybackend.s3_bucket,,amplifybackend,Name,scalar,s3.bucket,s3,references,doc,medium,well-known,list_s3_buckets,amplifybackend.ListS3Buckets,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigateway.base_path_mapping,,apigateway,restApiId,scalar,apigateway.rest_api,rest-api,references,doc,medium,service-partial,get_base_path_mapping,apigateway.GetBasePathMapping,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigateway.resource,rest-resource,apigateway,restApiId,scalar,apigateway.rest_api,rest-api,contained-in,parent_spec,high,declared,,c7n parent_spec of rest-resource,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigateway.rest_api,rest-api,apigateway,definitions.EndpointConfigurationVpcEndpointIds.items,dotted,ec2.vpc_endpoint,vpc-endpoint,references,cfn,high,curated,get_rest_apis,AWS::ApiGateway::RestApi/definitions/EndpointConfiguration/properties/VpcEndpointIds/items,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigateway.stage,rest-stage,apigateway,clientCertificateId,scalar,apigateway.client_certificate,rest-client-certificate,references,c7n,high,curated,get_stages,aws.rest-stage.filters.client-certificate,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigateway.stage,rest-stage,apigateway,canarySettings.deploymentId,dotted,apigateway.deployment,,references,doc,medium,service-partial,get_stage,apigateway.GetStage,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigateway.stage,rest-stage,apigateway,deploymentId,scalar,apigateway.deployment,,references,doc,medium,service-exact,get_stage,apigateway.GetStage,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigateway.stage,rest-stage,apigateway,restApiId,scalar,apigateway.rest_api,rest-api,contained-in,parent_spec,high,declared,,c7n parent_spec of rest-stage,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigatewayv2.domain_name,,apigatewayv2,ApiGatewayDomainName,scalar,apigatewayv2.api,apigwv2,references,doc,medium,service-exact,get_domain_name,apigatewayv2.GetDomainName,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigatewayv2.domain_name,,apigatewayv2,DomainNameConfigurations[].ApiGatewayDomainName,list_dict,apigatewayv2.api,apigwv2,references,doc,medium,service-exact,get_domain_names,apigatewayv2.GetDomainNames,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigatewayv2.integration,,apigatewayv2,ConnectionId,scalar,ec2.vpc,vpc,contained-in,doc,medium,well-known,get_integration,apigatewayv2.GetIntegration,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigatewayv2.stage,apigwv2-stage,apigatewayv2,ApiId,scalar,apigatewayv2.api,apigwv2,contained-in,parent_spec,high,declared,,c7n parent_spec of apigwv2-stage,,yes,absent,2,0,0.00,0,0,0,path never populated across 2 resource(s),2026-08-16T15:50:20+00:00
apigatewayv2.stage,apigwv2-stage,apigatewayv2,DeploymentId,scalar,apigatewayv2.deployment,,references,doc,medium,service-exact,get_stage,apigatewayv2.GetStage,,no,unverifiable,2,2,1.00,0,2,0,"target type was not collected, so referential integrity is untested",2026-08-16T15:50:20+00:00
apigatewayv2.vpc_link,,apigatewayv2,Name,scalar,ec2.vpc,vpc,contained-in,doc,medium,well-known,get_vpc_link,apigatewayv2.GetVpcLink,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apigatewayv2.vpc_link,,apigatewayv2,VpcLinkId,scalar,ec2.vpc,vpc,contained-in,doc,medium,well-known,get_vpc_link,apigatewayv2.GetVpcLink,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.configuration_profile,,appconfig,KmsKeyArn,scalar,kms.key,kms-key,encrypted-by,doc,medium,leaf-hint,get_configuration_profile,appconfig.GetConfigurationProfile,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.deployment,,appconfig,ApplicationId,scalar,appconfig.application,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.deployment,,appconfig,ConfigurationName,scalar,appconfig.configuration,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.deployment,,appconfig,ConfigurationProfileId,scalar,appconfig.configuration,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.deployment,,appconfig,EnvironmentId,scalar,appconfig.environment,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.deployment,,appconfig,AppliedExtensions[].ExtensionId,list_dict,appconfig.extension,,references,doc,medium,service-exact,get_deployment,appconfig.GetDeployment,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.deployment,,appconfig,AppliedExtensions[].ExtensionAssociationId,list_dict,appconfig.extension_association,,references,doc,medium,service-partial,get_deployment,appconfig.GetDeployment,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.deployment,,appconfig,KmsKeyArn,scalar,kms.key,kms-key,encrypted-by,doc,medium,leaf-hint,get_deployment,appconfig.GetDeployment,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.extension_association,,appconfig,ExtensionArn,scalar,appconfig.extension,,references,doc,medium,service-exact,get_extension_association,appconfig.GetExtensionAssociation,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appconfig.hosted_configuration_version,,appconfig,KmsKeyArn,scalar,kms.key,kms-key,encrypted-by,doc,medium,leaf-hint,get_hosted_configuration_version,appconfig.GetHostedConfigurationVersion,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appflow.connector_entity,,appflow,parentIdentifier,scalar,appflow.connector,,references,doc,medium,service-exact,describe_connector_entity,appflow.DescribeConnectorEntity,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appflow.flow,,appflow,sourceFlowConfig.sourceConnectorProperties.CustomConnector.dataTransferApi.Name,dotted,appflow.connector,,references,doc,medium,service-exact,describe_flow,appflow.DescribeFlow,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appflow.flow_execution_record,,appflow,executionId,scalar,appflow.flow,,references,doc,medium,service-partial,describe_flow_execution_records,appflow.DescribeFlowExecutionRecords,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appintegrations.event_integration_association,,appintegrations,EventIntegrationName,scalar,appintegrations.event_integration,,references,doc,medium,service-exact,list_event_integration_associations,appintegrations.ListEventIntegrationAssociations,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
application-autoscaling.scaling_policy,,application-autoscaling,TargetTrackingScalingPolicyConfiguration.CustomizedMetricSpecification.Dimensions[].Name,list_dict,iot.dimension,,references,doc,medium,global-exact,describe_scaling_policies,application-autoscaling.DescribeScalingPolicies,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
application-autoscaling.scheduled_action,,application-autoscaling,ResourceId,scalar,application-autoscaling.scaling_policy,,references,doc,medium,service-partial,describe_scheduled_actions,application-autoscaling.DescribeScheduledActions,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
application-insights.log_pattern,,application-insights,ResourceGroupName,scalar,inspector.resource_group,,references,doc,medium,global-exact,describe_log_pattern,application-insights.DescribeLogPattern,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
application-insights.log_pattern_set,,application-insights,ResourceGroupName,scalar,inspector.resource_group,,references,doc,medium,global-exact,list_log_pattern_sets,application-insights.ListLogPatternSets,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
application-insights.problem,,application-insights,ResourceGroupName,scalar,inspector.resource_group,,references,doc,medium,global-exact,list_problems,application-insights.ListProblems,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
application-insights.problem_observation,,application-insights,RelatedObservations.ObservationList[].Id,list_dict,application-insights.observation,,references,doc,medium,service-exact,describe_problem_observations,application-insights.DescribeProblemObservations,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
application-insights.problem_observation,,application-insights,RelatedObservations.ObservationList[].S3EventName,list_dict,application-insights.observation,,references,doc,medium,service-partial,describe_problem_observations,application-insights.DescribeProblemObservations,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
application-insights.workload,,application-insights,ComponentName,scalar,application-insights.component,,references,doc,medium,service-exact,list_workloads,application-insights.ListWorkloads,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
applicationcostprofiler.report_definition,,applicationcostprofiler,reportId,scalar,artifact.report,,references,doc,medium,global-exact,get_report_definition,applicationcostprofiler.GetReportDefinition,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appmesh.gateway_route,,appmesh,gatewayRoute.meshName,dotted,appmesh.mesh,appmesh-mesh,references,doc,medium,service-partial,describe_gateway_route,appmesh.DescribeGatewayRoute,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appmesh.gateway_route,,appmesh,meshName,scalar,appmesh.mesh,appmesh-mesh,references,doc,medium,service-partial,list_gateway_routes,appmesh.ListGatewayRoutes,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appmesh.virtual_gateway,appmesh-virtual-gateway,appmesh,meshName,scalar,appmesh.mesh,appmesh-mesh,contained-in,parent_spec,high,declared,,c7n parent_spec of appmesh-virtual-gateway,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appmesh.virtual_gateway,appmesh-virtual-gateway,appmesh,virtualGatewayName,scalar,appmesh.tags_for_resource,,references,doc,medium,service-partial,list_virtual_gateways,appmesh.ListVirtualGateways,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apprunner.custom_domain,,apprunner,VpcDNSTargets[].VpcId,list_dict,ec2.vpc,vpc,contained-in,doc,medium,leaf-hint,describe_custom_domains,apprunner.DescribeCustomDomains,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
apprunner.vpc_ingress_connection,,apprunner,VpcIngressConnection.IngressVpcConfiguration.VpcId,dotted,ec2.vpc,vpc,contained-in,doc,medium,leaf-hint,describe_vpc_ingress_connection,apprunner.DescribeVpcIngressConnection,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.application_fleet_association,,appstream,ApplicationArn,scalar,appstream.application,,references,doc,medium,service-exact,describe_application_fleet_associations,appstream.DescribeApplicationFleetAssociations,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.application_fleet_association,,appstream,FleetName,scalar,appstream.fleet,appstream-fleet,references,doc,medium,service-exact,describe_application_fleet_associations,appstream.DescribeApplicationFleetAssociations,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.fleet,appstream-fleet,appstream,DomainJoinInfo.DirectoryName,dotted,appstream.directory_config,,references,doc,medium,service-partial,describe_fleets,appstream.DescribeFleets,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.fleet,appstream-fleet,appstream,ImageName,scalar,appstream.image,,references,doc,medium,service-exact,describe_fleets,appstream.DescribeFleets,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.fleet,appstream-fleet,appstream,IamRoleArn,scalar,iam.role,iam-role,assumes,doc,medium,curated,describe_fleets,appstream.DescribeFleets: 'IAM role that is applied to the fleet',,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.image,,appstream,Applications[].AppBlockArn,list_dict,appstream.application,,references,doc,medium,service-exact,describe_images,appstream.DescribeImages,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.image,,appstream,Applications[].Arn,list_dict,appstream.application,,references,doc,medium,service-exact,describe_images,appstream.DescribeImages,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.image,,appstream,Applications[].Name,list_dict,appstream.application,,references,doc,medium,service-exact,describe_images,appstream.DescribeImages,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.image_builder,,appstream,DomainJoinInfo.DirectoryName,dotted,appstream.directory_config,,references,doc,medium,service-partial,describe_image_builders,appstream.DescribeImageBuilders,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.image_builder,,appstream,ImageArn,scalar,appstream.image,,references,doc,medium,service-exact,describe_image_builders,appstream.DescribeImageBuilders,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.image_builder,,appstream,IamRoleArn,scalar,iam.role,iam-role,assumes,doc,medium,well-known,describe_image_builders,appstream.DescribeImageBuilders,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appstream.user,,appstream,StackName,scalar,appstream.stack,appstream-stack,references,doc,medium,service-exact,describe_user_stack_associations,appstream.DescribeUserStackAssociations,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appsync.function_configuration,,appsync,dataSourceName,scalar,appsync.data_source,,references,doc,medium,service-exact,list_functions,appsync.ListFunctions,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appsync.function_configuration,,appsync,functionConfiguration.dataSourceName,dotted,appsync.data_source,,references,doc,medium,service-exact,get_function,appsync.GetFunction,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appsync.source_api_association,,appsync,mergedApiId,scalar,appsync.api,,references,doc,medium,service-partial,list_source_api_associations,appsync.ListSourceApiAssociations,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appsync.source_api_association,,appsync,sourceApiAssociation.mergedApiId,dotted,appsync.api,,references,doc,medium,service-partial,get_source_api_association,appsync.GetSourceApiAssociation,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appsync.source_api_association,,appsync,sourceApiAssociation.sourceApiId,dotted,appsync.api,,references,doc,medium,service-partial,get_source_api_association,appsync.GetSourceApiAssociation,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
appsync.source_api_association,,appsync,sourceApiId,scalar,appsync.api,,references,doc,medium,service-partial,list_source_api_associations,appsync.ListSourceApiAssociations,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
arc-zonal-shift.managed_resource,,arc-zonal-shift,resourceIdentifier,scalar,arc-zonal-shift.zonal_shift,,references,doc,medium,service-partial,get_managed_resource,arc-zonal-shift.GetManagedResource,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
arc-zonal-shift.managed_resource,,arc-zonal-shift,zonalShifts[].resourceIdentifier,list_dict,arc-zonal-shift.zonal_shift,,references,doc,medium,service-partial,list_managed_resources,arc-zonal-shift.ListManagedResources,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
artifact.report_metadata,,artifact,reportDetails.companyName,dotted,artifact.report,,references,doc,medium,service-exact,get_report_metadata,artifact.GetReportMetadata,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
artifact.report_metadata,,artifact,reportDetails.productName,dotted,artifact.report,,references,doc,medium,service-exact,get_report_metadata,artifact.GetReportMetadata,,no,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.assessment_report,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-partial,list_assessment_reports,auditmanager.ListAssessmentReports,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.assessment_report,,auditmanager,assessmentName,scalar,auditmanager.assessment,,references,doc,medium,service-partial,list_assessment_reports,auditmanager.ListAssessmentReports,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.delegation,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-exact,get_delegations,auditmanager.GetDelegations,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.delegation,,auditmanager,assessmentName,scalar,auditmanager.assessment,,references,doc,medium,service-partial,get_delegations,auditmanager.GetDelegations,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.delegation,,auditmanager,controlSetName,scalar,auditmanager.control,,references,doc,medium,service-exact,get_delegations,auditmanager.GetDelegations,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_by_evidence_folder,,auditmanager,eventName,scalar,auditmanager.evidence,,references,doc,medium,service-exact,get_evidence_by_evidence_folder,auditmanager.GetEvidenceByEvidenceFolder,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_by_evidence_folder,,auditmanager,evidenceFolderId,scalar,auditmanager.evidence,,references,doc,medium,service-partial,get_evidence_by_evidence_folder,auditmanager.GetEvidenceByEvidenceFolder,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folder,,auditmanager,evidenceFolder.assessmentId,dotted,auditmanager.assessment,,references,doc,medium,service-exact,get_evidence_folder,auditmanager.GetEvidenceFolder,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folder,,auditmanager,evidenceFolder.controlId,dotted,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folder,auditmanager.GetEvidenceFolder,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folder,,auditmanager,evidenceFolder.controlName,dotted,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folder,auditmanager.GetEvidenceFolder,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folder,,auditmanager,evidenceFolder.controlSetId,dotted,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folder,auditmanager.GetEvidenceFolder,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folders_by_assessment,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-exact,get_evidence_folders_by_assessment,auditmanager.GetEvidenceFoldersByAssessment,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folders_by_assessment,,auditmanager,controlId,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment,auditmanager.GetEvidenceFoldersByAssessment,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folders_by_assessment,,auditmanager,controlName,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment,auditmanager.GetEvidenceFoldersByAssessment,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folders_by_assessment,,auditmanager,controlSetId,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment,auditmanager.GetEvidenceFoldersByAssessment,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folders_by_assessment_control,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-exact,get_evidence_folders_by_assessment_control,auditmanager.GetEvidenceFoldersByAssessmentControl,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folders_by_assessment_control,,auditmanager,controlId,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment_control,auditmanager.GetEvidenceFoldersByAssessmentControl,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folders_by_assessment_control,,auditmanager,controlName,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment_control,auditmanager.GetEvidenceFoldersByAssessmentControl,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.evidence_folders_by_assessment_control,,auditmanager,controlSetId,scalar,auditmanager.control,,references,doc,medium,service-exact,get_evidence_folders_by_assessment_control,auditmanager.GetEvidenceFoldersByAssessmentControl,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.notification,,auditmanager,assessmentId,scalar,auditmanager.assessment,,references,doc,medium,service-exact,list_notifications,auditmanager.ListNotifications,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.notification,,auditmanager,assessmentName,scalar,auditmanager.assessment,,references,doc,medium,service-partial,list_notifications,auditmanager.ListNotifications,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
auditmanager.notification,,auditmanager,controlSetId,scalar,auditmanager.control,,references,doc,medium,service-exact,list_notifications,auditmanager.ListNotifications,,yes,absent,0,0,,0,0,0,no source resources of this type were collected,2026-08-16T15:50:20+00:00
