cfn_type,cfn_namespace,cfn_resource,slug,primary_identifier,additional_identifiers,arn_property,has_read_handler,taggable,relationship_refs,description
AWS::ApiGateway::GatewayResponse,ApiGateway,GatewayResponse,apigateway.gateway_response,Id,,,yes,no,,"The ``AWS::ApiGateway::GatewayResponse`` resource creates a gateway response for your API. When you delete a stack containing this resource, your custom gateway responses are reset. For more informati"
AWS::ApiGateway::Method,ApiGateway,Method,apigateway.method,"RestApiId,ResourceId,HttpMethod",,,yes,no,,The ``AWS::ApiGateway::Method`` resource creates API Gateway methods that define the parameters and body that clients must send in their requests.
AWS::ApiGateway::Model,ApiGateway,Model,apigateway.model,"RestApiId,Name",,,yes,no,,The ``AWS::ApiGateway::Model`` resource defines the structure of a request or response payload for an API method.
AWS::ApiGateway::RequestValidator,ApiGateway,RequestValidator,apigateway.request_validator,"RestApiId,RequestValidatorId",,,yes,no,,"The ``AWS::ApiGateway::RequestValidator`` resource sets up basic validation rules for incoming requests to your API. For more information, see [Enable Basic Request Validation for an API in API Gatewa"
AWS::ApiGateway::Resource,ApiGateway,Resource,apigateway.resource,"RestApiId,ResourceId",,,yes,no,,The ``AWS::ApiGateway::Resource`` resource creates a resource in an API.
AWS::ApiGateway::RestApi,ApiGateway,RestApi,apigateway.rest_api,RestApiId,,,yes,yes,1,"The ``AWS::ApiGateway::RestApi`` resource creates a REST API. For more information, see [restapi:create](https://docs.aws.amazon.com/apigateway/latest/api/API_CreateRestApi.html) in the *Amazon API Ga"
AWS::ApiGateway::Stage,ApiGateway,Stage,apigateway.stage,"RestApiId,StageName",,,yes,yes,,The ``AWS::ApiGateway::Stage`` resource creates a stage for a deployment.
AWS::ApiGateway::UsagePlan,ApiGateway,UsagePlan,apigateway.usage_plan,Id,,,yes,yes,,"The ``AWS::ApiGateway::UsagePlan`` resource creates a usage plan for deployed APIs. A usage plan sets a target for the throttling and quota limits on individual client API keys. For more information, "
AWS::ApiGateway::UsagePlanKey,ApiGateway,UsagePlanKey,apigateway.usage_plan_key,Id,,,yes,no,,The ``AWS::ApiGateway::UsagePlanKey`` resource associates an API key with a usage plan. This association determines which users the usage plan is applied to.
AWS::ApiGateway::VpcLink,ApiGateway,VpcLink,apigateway.vpc_link,VpcLinkId,,,yes,yes,,"The ``AWS::ApiGateway::VpcLink`` resource creates an API Gateway VPC link for a REST API to access resources in an Amazon Virtual Private Cloud (VPC). For more information, see [vpclink:create](https:"
AWS::ApiGatewayV2::Api,ApiGatewayV2,Api,apigatewayv2.api,ApiId,,,yes,yes,,"The ``AWS::ApiGatewayV2::Api`` resource creates an API. WebSocket APIs and HTTP APIs are supported. For more information about WebSocket APIs, see [About WebSocket APIs in API Gateway](https://docs.aw"
AWS::ApiGatewayV2::ApiGatewayManagedOverrides,ApiGatewayV2,ApiGatewayManagedOverrides,apigatewayv2.api_gateway_managed_overrides,Id,,,no,no,,Resource Type definition for AWS::ApiGatewayV2::ApiGatewayManagedOverrides
AWS::ApiGatewayV2::ApiMapping,ApiGatewayV2,ApiMapping,apigatewayv2.api_mapping,"ApiMappingId,DomainName",,,yes,no,,The ``AWS::ApiGatewayV2::ApiMapping`` resource contains an API mapping. An API mapping relates a path of your custom domain name to a stage of your API. A custom domain name can have multiple API mapp
AWS::ApiGatewayV2::Authorizer,ApiGatewayV2,Authorizer,apigatewayv2.authorizer,"AuthorizerId,ApiId",,,yes,no,,"The ``AWS::ApiGatewayV2::Authorizer`` resource creates an authorizer for a WebSocket API or an HTTP API. To learn more, see [Controlling and managing access to a WebSocket API in API Gateway](https://"
AWS::ApiGatewayV2::Deployment,ApiGatewayV2,Deployment,apigatewayv2.deployment,"ApiId,DeploymentId",,,yes,no,,The ``AWS::ApiGatewayV2::Deployment`` resource creates a deployment for an API.
AWS::ApiGatewayV2::DomainName,ApiGatewayV2,DomainName,apigatewayv2.domain_name,DomainName,,DomainNameArn,yes,yes,,The ``AWS::ApiGatewayV2::DomainName`` resource specifies a custom domain name for your API in Amazon API Gateway (API Gateway).   You can use a custom domain name to provide a URL that's more intuitiv
AWS::ApiGatewayV2::Integration,ApiGatewayV2,Integration,apigatewayv2.integration,"ApiId,IntegrationId",,,yes,no,,Resource Type definition for AWS::ApiGatewayV2::Integration
AWS::ApiGatewayV2::IntegrationResponse,ApiGatewayV2,IntegrationResponse,apigatewayv2.integration_response,"ApiId,IntegrationId,IntegrationResponseId",,,yes,no,,"The ``AWS::ApiGatewayV2::IntegrationResponse`` resource updates an integration response for an WebSocket API. For more information, see [Set up WebSocket API Integration Responses in API Gateway](http"
AWS::ApiGatewayV2::Model,ApiGatewayV2,Model,apigatewayv2.model,"ApiId,ModelId",,,yes,no,,"The ``AWS::ApiGatewayV2::Model`` resource updates data model for a WebSocket API. For more information, see [Model Selection Expressions](https://docs.aws.amazon.com/apigateway/latest/developerguide/a"
AWS::ApiGatewayV2::Route,ApiGatewayV2,Route,apigatewayv2.route,"ApiId,RouteId",,,yes,no,,The ``AWS::ApiGatewayV2::Route`` resource creates a route for an API.
AWS::ApiGatewayV2::RouteResponse,ApiGatewayV2,RouteResponse,apigatewayv2.route_response,"ApiId,RouteId,RouteResponseId",,,yes,no,,"The ``AWS::ApiGatewayV2::RouteResponse`` resource creates a route response for a WebSocket API. For more information, see [Set up Route Responses for a WebSocket API in API Gateway](https://docs.aws.a"
AWS::ApiGatewayV2::RoutingRule,ApiGatewayV2,RoutingRule,apigatewayv2.routing_rule,RoutingRuleArn,,RoutingRuleArn,yes,no,,"Represents a routing rule. When the incoming request to a domain name matches the conditions for a rule, API Gateway invokes a stage of a target API. Supported only for REST APIs."
AWS::ApiGatewayV2::Stage,ApiGatewayV2,Stage,apigatewayv2.stage,"ApiId,StageName",,,yes,yes,,Resource Type definition for AWS::ApiGatewayV2::Stage
AWS::ApiGatewayV2::VpcLink,ApiGatewayV2,VpcLink,apigatewayv2.vpc_link,VpcLinkId,,,yes,yes,,The ``AWS::ApiGatewayV2::VpcLink`` resource creates a VPC link. This VPC link can be used with both REST and HTTP APIs. The VPC link status must transition from ``PENDING`` to ``AVAILABLE`` to success
AWS::AppConfig::Application,AppConfig,Application,appconfig.application,ApplicationId,Name,,yes,yes,,Resource Type definition for AWS::AppConfig::Application
AWS::AppConfig::ConfigurationProfile,AppConfig,ConfigurationProfile,appconfig.configuration_profile,"ApplicationId,ConfigurationProfileId",ApplicationId|Name,KmsKeyArn,yes,yes,,An example resource schema demonstrating some basic constructs and validation rules.
AWS::AppConfig::Deployment,AppConfig,Deployment,appconfig.deployment,"ApplicationId,EnvironmentId,DeploymentNumber",,,yes,yes,,Resource Type definition for AWS::AppConfig::Deployment
AWS::AppConfig::DeploymentStrategy,AppConfig,DeploymentStrategy,appconfig.deployment_strategy,Id,,,yes,yes,,Resource Type definition for AWS::AppConfig::DeploymentStrategy
AWS::AppConfig::Environment,AppConfig,Environment,appconfig.environment,"ApplicationId,EnvironmentId",ApplicationId|Name,,yes,yes,,Resource Type definition for AWS::AppConfig::Environment
AWS::AppConfig::Extension,AppConfig,Extension,appconfig.extension,Id,,Arn,yes,yes,,Resource Type definition for AWS::AppConfig::Extension
AWS::AppConfig::ExtensionAssociation,AppConfig,ExtensionAssociation,appconfig.extension_association,Id,,Arn,yes,yes,,An example resource schema demonstrating some basic constructs and validation rules.
AWS::AppConfig::HostedConfigurationVersion,AppConfig,HostedConfigurationVersion,appconfig.hosted_configuration_version,"ApplicationId,ConfigurationProfileId,VersionNumber",,,yes,no,,Resource Type definition for AWS::AppConfig::HostedConfigurationVersion
AWS::AppFlow::Connector,AppFlow,Connector,appflow.connector,ConnectorLabel,,ConnectorArn,yes,no,,Resource schema for AWS::AppFlow::Connector
AWS::AppFlow::ConnectorProfile,AppFlow,ConnectorProfile,appflow.connector_profile,ConnectorProfileName,,ConnectorProfileArn,yes,no,,Resource Type definition for AWS::AppFlow::ConnectorProfile
AWS::AppFlow::Flow,AppFlow,Flow,appflow.flow,FlowName,,FlowArn,yes,yes,,Resource schema for AWS::AppFlow::Flow.
AWS::AppIntegrations::Application,AppIntegrations,Application,appintegrations.application,ApplicationArn,,ApplicationArn,yes,yes,,Resource Type definition for AWS:AppIntegrations::Application
AWS::AppIntegrations::DataIntegration,AppIntegrations,DataIntegration,appintegrations.data_integration,Id,,DataIntegrationArn,yes,yes,,Resource Type definition for AWS::AppIntegrations::DataIntegration
AWS::AppIntegrations::EventIntegration,AppIntegrations,EventIntegration,appintegrations.event_integration,Name,,EventIntegrationArn,yes,yes,,Resource Type definition for AWS::AppIntegrations::EventIntegration
AWS::AppMesh::GatewayRoute,AppMesh,GatewayRoute,appmesh.gateway_route,Id,,Arn,no,no,,Resource Type definition for AWS::AppMesh::GatewayRoute
AWS::AppMesh::Mesh,AppMesh,Mesh,appmesh.mesh,Id,,Arn,no,no,,Resource Type definition for AWS::AppMesh::Mesh
AWS::AppMesh::Route,AppMesh,Route,appmesh.route,Id,,Arn,no,no,,Resource Type definition for AWS::AppMesh::Route
AWS::AppMesh::VirtualGateway,AppMesh,VirtualGateway,appmesh.virtual_gateway,Id,,Arn,no,no,,Resource Type definition for AWS::AppMesh::VirtualGateway
AWS::AppMesh::VirtualNode,AppMesh,VirtualNode,appmesh.virtual_node,Id,,Arn,no,no,,Resource Type definition for AWS::AppMesh::VirtualNode
AWS::AppMesh::VirtualRouter,AppMesh,VirtualRouter,appmesh.virtual_router,Id,,Arn,no,no,,Resource Type definition for AWS::AppMesh::VirtualRouter
AWS::AppMesh::VirtualService,AppMesh,VirtualService,appmesh.virtual_service,Id,,Arn,no,no,,Resource Type definition for AWS::AppMesh::VirtualService
AWS::AppRunner::AutoScalingConfiguration,AppRunner,AutoScalingConfiguration,apprunner.auto_scaling_configuration,AutoScalingConfigurationArn,,AutoScalingConfigurationArn,yes,yes,,Describes an AWS App Runner automatic configuration resource that enables automatic scaling of instances used to process web requests. You can share an auto scaling configuration across multiple servi
AWS::AppRunner::ObservabilityConfiguration,AppRunner,ObservabilityConfiguration,apprunner.observability_configuration,ObservabilityConfigurationArn,,ObservabilityConfigurationArn,yes,yes,,The AWS::AppRunner::ObservabilityConfiguration resource  is an AWS App Runner resource type that specifies an App Runner observability configuration
AWS::AppRunner::Service,AppRunner,Service,apprunner.service,ServiceArn,,ServiceArn,yes,yes,,The AWS::AppRunner::Service resource specifies an AppRunner Service.
AWS::AppRunner::VpcConnector,AppRunner,VpcConnector,apprunner.vpc_connector,VpcConnectorArn,,VpcConnectorArn,yes,yes,,The AWS::AppRunner::VpcConnector resource specifies an App Runner VpcConnector.
AWS::AppRunner::VpcIngressConnection,AppRunner,VpcIngressConnection,apprunner.vpc_ingress_connection,VpcIngressConnectionArn,,VpcIngressConnectionArn,yes,yes,,The AWS::AppRunner::VpcIngressConnection resource is an App Runner resource that specifies an App Runner VpcIngressConnection.
AWS::AppStream::AppBlock,AppStream,AppBlock,appstream.app_block,Arn,,Arn,yes,yes,,Resource Type definition for AWS::AppStream::AppBlock
AWS::AppStream::AppBlockBuilder,AppStream,AppBlockBuilder,appstream.app_block_builder,Name,,Arn,yes,yes,,Resource Type definition for AWS::AppStream::AppBlockBuilder.
AWS::AppStream::Application,AppStream,Application,appstream.application,Arn,,Arn,yes,yes,,Resource Type definition for AWS::AppStream::Application
AWS::AppStream::ApplicationEntitlementAssociation,AppStream,ApplicationEntitlementAssociation,appstream.application_entitlement_association,"StackName,EntitlementName,ApplicationIdentifier",,,yes,no,,Resource Type definition for AWS::AppStream::ApplicationEntitlementAssociation
AWS::AppStream::ApplicationFleetAssociation,AppStream,ApplicationFleetAssociation,appstream.application_fleet_association,"FleetName,ApplicationArn",,,yes,no,,Resource Type definition for AWS::AppStream::ApplicationFleetAssociation
AWS::AppStream::DirectoryConfig,AppStream,DirectoryConfig,appstream.directory_config,DirectoryName,,,yes,no,,Resource Type definition for AWS::AppStream::DirectoryConfig
AWS::AppStream::Entitlement,AppStream,Entitlement,appstream.entitlement,"StackName,Name",,,yes,no,,Resource Type definition for AWS::AppStream::Entitlement
AWS::AppStream::Fleet,AppStream,Fleet,appstream.fleet,Id,,,no,no,,Resource Type definition for AWS::AppStream::Fleet
AWS::AppStream::ImageBuilder,AppStream,ImageBuilder,appstream.image_builder,Name,,,yes,no,,Resource Type definition for AWS::AppStream::ImageBuilder
AWS::AppStream::Stack,AppStream,Stack,appstream.stack,Name,,,yes,yes,,Resource Type definition for AWS::AppStream::Stack
AWS::AppStream::StackFleetAssociation,AppStream,StackFleetAssociation,appstream.stack_fleet_association,"FleetName,StackName",,,yes,no,,Resource Type definition for AWS::AppStream::StackFleetAssociation
AWS::AppStream::StackUserAssociation,AppStream,StackUserAssociation,appstream.stack_user_association,"StackName,UserName,AuthenticationType",,,yes,no,,Resource Type definition for AWS::AppStream::StackUserAssociation
AWS::AppStream::User,AppStream,User,appstream.user,"UserName,AuthenticationType",,Arn,yes,no,,Resource Type definition for AWS::AppStream::User
AWS::AppSync::Api,AppSync,Api,appsync.api,ApiArn,,ApiArn,yes,yes,,Resource schema for AppSync Api
AWS::AppSync::ApiCache,AppSync,ApiCache,appsync.api_cache,Id,,,no,no,,Resource Type definition for AWS::AppSync::ApiCache
AWS::AppSync::ApiKey,AppSync,ApiKey,appsync.api_key,ApiKeyId,,Arn,no,no,,Resource Type definition for AWS::AppSync::ApiKey
AWS::AppSync::ChannelNamespace,AppSync,ChannelNamespace,appsync.channel_namespace,ChannelNamespaceArn,,ChannelNamespaceArn,yes,yes,,Resource schema for AppSync ChannelNamespace
AWS::AppSync::DataSource,AppSync,DataSource,appsync.data_source,DataSourceArn,,DataSourceArn,yes,no,,Resource Type definition for AWS::AppSync::DataSource
AWS::AppSync::DomainName,AppSync,DomainName,appsync.domain_name,DomainName,,DomainNameArn,yes,yes,,Resource Type definition for AWS::AppSync::DomainName
AWS::AppSync::DomainNameApiAssociation,AppSync,DomainNameApiAssociation,appsync.domain_name_api_association,ApiAssociationIdentifier,,,yes,no,,Resource Type definition for AWS::AppSync::DomainNameApiAssociation
AWS::AppSync::FunctionConfiguration,AppSync,FunctionConfiguration,appsync.function_configuration,FunctionArn,,FunctionArn,yes,no,,An example resource schema demonstrating some basic constructs and validation rules.
AWS::AppSync::GraphQLApi,AppSync,GraphQLApi,appsync.graph_ql_api,ApiId,,Arn,yes,yes,,Resource Type definition for AWS::AppSync::GraphQLApi
AWS::AppSync::GraphQLSchema,AppSync,GraphQLSchema,appsync.graph_ql_schema,Id,,,no,no,,Resource Type definition for AWS::AppSync::GraphQLSchema
AWS::AppSync::Resolver,AppSync,Resolver,appsync.resolver,ResolverArn,,ResolverArn,yes,no,,The ``AWS::AppSync::Resolver`` resource defines the logical GraphQL resolver that you attach to fields in a schema. Request and response templates for resolvers are written in Apache Velocity Template
AWS::AppSync::SourceApiAssociation,AppSync,SourceApiAssociation,appsync.source_api_association,AssociationArn,SourceApiIdentifier|MergedApiIdentifier,AssociationArn,yes,no,,Resource Type definition for AWS::AppSync::SourceApiAssociation
AWS::AppTest::TestCase,AppTest,TestCase,apptest.test_case,TestCaseId,,TestCaseArn,yes,yes,,Represents a Test Case that can be captured and executed
AWS::ApplicationAutoScaling::ScalableTarget,ApplicationAutoScaling,ScalableTarget,application-autoscaling.scalable_target,"ResourceId,ScalableDimension,ServiceNamespace",,,yes,no,,"The ``AWS::ApplicationAutoScaling::ScalableTarget`` resource specifies a resource that Application Auto Scaling can scale, such as an AWS::DynamoDB::Table or AWS::ECS::Service resource.  For more info"
AWS::ApplicationAutoScaling::ScalingPolicy,ApplicationAutoScaling,ScalingPolicy,application-autoscaling.scaling_policy,"Arn,ScalableDimension",,Arn,yes,no,,"The ``AWS::ApplicationAutoScaling::ScalingPolicy`` resource defines a scaling policy that Application Auto Scaling uses to adjust the capacity of a scalable target.   For more information, see [Target"
AWS::ApplicationInsights::Application,ApplicationInsights,Application,application-insights.application,ApplicationARN,,ApplicationARN,yes,yes,,Resource Type definition for AWS::ApplicationInsights::Application
AWS::ApplicationSignals::Discovery,ApplicationSignals,Discovery,application-signals.discovery,AccountId,,,yes,no,,Resource Type definition for AWS::ApplicationSignals::Discovery
AWS::ApplicationSignals::GroupingConfiguration,ApplicationSignals,GroupingConfiguration,application-signals.grouping_configuration,AccountId,,,yes,no,,Resource Type definition for AWS::ApplicationSignals::GroupingConfiguration
AWS::ApplicationSignals::ServiceLevelObjective,ApplicationSignals,ServiceLevelObjective,application-signals.service_level_objective,Arn,,Arn,yes,yes,,Resource Type definition for AWS::ApplicationSignals::ServiceLevelObjective
AWS::Athena::CapacityReservation,Athena,CapacityReservation,athena.capacity_reservation,Arn,Name,Arn,yes,yes,,Resource schema for AWS::Athena::CapacityReservation
AWS::Athena::DataCatalog,Athena,DataCatalog,athena.data_catalog,Name,,,yes,yes,,Resource schema for AWS::Athena::DataCatalog
AWS::Athena::NamedQuery,Athena,NamedQuery,athena.named_query,NamedQueryId,,,yes,no,,Resource schema for AWS::Athena::NamedQuery
AWS::Athena::PreparedStatement,Athena,PreparedStatement,athena.prepared_statement,"StatementName,WorkGroup",,,yes,no,,Resource schema for AWS::Athena::PreparedStatement
AWS::Athena::WorkGroup,Athena,WorkGroup,athena.work_group,Name,,,yes,yes,,Resource schema for AWS::Athena::WorkGroup
AWS::AuditManager::Assessment,AuditManager,Assessment,auditmanager.assessment,AssessmentId,,Arn,yes,yes,,An entity that defines the scope of audit evidence collected by AWS Audit Manager.
AWS::AuditManager::AssessmentFramework,AuditManager,AssessmentFramework,auditmanager.assessment_framework,Arn,FrameworkId,Arn,yes,yes,,Creates a custom framework in AWS Audit Manager.
AWS::AutoScaling::AutoScalingGroup,AutoScaling,AutoScalingGroup,autoscaling.auto_scaling_group,AutoScalingGroupName,,AutoScalingGroupARN,yes,yes,,"The ``AWS::AutoScaling::AutoScalingGroup`` resource defines an Amazon EC2 Auto Scaling group, which is a collection of Amazon EC2 instances that are treated as a logical grouping for the purposes of a"
AWS::AutoScaling::LaunchConfiguration,AutoScaling,LaunchConfiguration,autoscaling.launch_configuration,LaunchConfigurationName,,,yes,no,2,The AWS::AutoScaling::LaunchConfiguration resource specifies the launch configuration that can be used by an Auto Scaling group to configure Amazon EC2 instances.
AWS::AutoScaling::LifecycleHook,AutoScaling,LifecycleHook,autoscaling.lifecycle_hook,"AutoScalingGroupName,LifecycleHookName",,,yes,no,,Resource Type definition for AWS::AutoScaling::LifecycleHook
AWS::AutoScaling::ScalingPolicy,AutoScaling,ScalingPolicy,autoscaling.scaling_policy,Arn,,Arn,yes,no,,The AWS::AutoScaling::ScalingPolicy resource specifies an Amazon EC2 Auto Scaling scaling policy so that the Auto Scaling group can scale the number of instances available for your application.
AWS::AutoScaling::ScheduledAction,AutoScaling,ScheduledAction,autoscaling.scheduled_action,"ScheduledActionName,AutoScalingGroupName",,,yes,no,,The AWS::AutoScaling::ScheduledAction resource specifies an Amazon EC2 Auto Scaling scheduled action so that the Auto Scaling group can change the number of instances available for your application in
AWS::AutoScaling::WarmPool,AutoScaling,WarmPool,autoscaling.warm_pool,AutoScalingGroupName,,,yes,no,,Resource schema for AWS::AutoScaling::WarmPool.
AWS::AutoScalingPlans::ScalingPlan,AutoScalingPlans,ScalingPlan,autoscaling-plans.scaling_plan,Id,,,no,no,,Resource Type definition for AWS::AutoScalingPlans::ScalingPlan
AWS::B2BI::Capability,B2BI,Capability,b2bi.capability,CapabilityId,,CapabilityArn,yes,yes,,Definition of AWS::B2BI::Capability Resource Type
AWS::B2BI::Partnership,B2BI,Partnership,b2bi.partnership,PartnershipId,,PartnershipArn,yes,yes,,Definition of AWS::B2BI::Partnership Resource Type
AWS::B2BI::Profile,B2BI,Profile,b2bi.profile,ProfileId,,ProfileArn,yes,yes,,Definition of AWS::B2BI::Profile Resource Type
AWS::B2BI::Transformer,B2BI,Transformer,b2bi.transformer,TransformerId,,TransformerArn,yes,yes,,Definition of AWS::B2BI::Transformer Resource Type
AWS::BCM::Dashboard,BCM,Dashboard,bcm.dashboard,Arn,,Arn,yes,yes,,Definition of AWS::BCM::Dashboard Resource Type
AWS::BCMDataExports::Export,BCMDataExports,Export,bcm-data-exports.export,ExportArn,,ExportArn,yes,yes,,Definition of AWS::BCMDataExports::Export Resource Type
