provider,service_group,resource,category,name,schema_path,doc,params_json,permissions
aws,Security,account,filter,emr-block-public-access,aws.account.filters.emr-block-public-access,Check for EMR block public access configuration on an account,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",elasticmapreduce:GetBlockPublicAccessConfiguration
aws,Security,account,filter,event,aws.account.filters.event,Filter a resource based on an event.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,Security,account,filter,glue-security-config,aws.account.filters.glue-security-config,Filter aws account by its glue encryption status and KMS key,"{""properties"":{""CatalogEncryptionMode"":[""DISABLED"",""SSE-KMS""],""SseAwsKmsKeyId"":""string"",""ReturnConnectionPasswordEncrypted"":""boolean"",""AwsKmsKeyId"":""string""}}",glue:GetDataCatalogEncryptionSettings
aws,Security,account,filter,guard-duty,aws.account.filters.guard-duty,Check if the guard duty service is enabled.,"{""properties"":{""match-operator"":[""or"",""and""]}}","guardduty:GetMasterAccount,guardduty:ListDetectors,guardduty:GetDetector"
aws,Security,account,filter,has-virtual-mfa,aws.account.filters.has-virtual-mfa,Is the account configured with a virtual MFA device?,"{""properties"":{""value"":""boolean""},""required"":[""type""]}",iam:ListVirtualMFADevices
aws,Security,account,filter,iam-summary,aws.account.filters.iam-summary,Return annotated account resource if iam summary filter matches.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",iam:GetAccountSummary
aws,Security,account,filter,lakeformation-s3-cross-account,aws.account.filters.lakeformation-s3-cross-account,Flags an account if its using a lakeformation s3 bucket resource from a different account.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",lakeformation:ListResources
aws,Security,account,filter,list-item,aws.account.filters.list-item,"Perform multi attribute filtering on items within a list,","{""properties"":{""key"":""string"",""attrs"":""#/definitions/filters_common/list_item_attrs"",""count"":""number"",""count_op"":""#/definitions/filters_common/comparison_operators""},""required"":[""type""]}",
aws,Security,account,filter,missing,aws.account.filters.missing,Assert the absence of a particular resource.,"{""properties"":{""policy"":""object""},""required"":[""policy"",""type""]}",
aws,Security,account,filter,not,aws.account.filters.not,Parent base class for filters and actions.,,
aws,Security,account,filter,or,aws.account.filters.or,Parent base class for filters and actions.,,
aws,Security,account,filter,organization,aws.account.filters.organization,Check organization enrollment and configuration,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",organizations:DescribeOrganization
aws,Security,account,filter,password-policy,aws.account.filters.password-policy,Check an account's password policy.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",iam:GetAccountPasswordPolicy
aws,Security,account,filter,reduce,aws.account.filters.reduce,"Generic reduce filter to group, sort, and limit your resources.","{""properties"":{""group-by"":""?"",""sort-by"":""?"",""order"":[""asc"",""desc"",""reverse"",""randomize""],""null-order"":[""first"",""last""],""limit"":""number"",""limit-percent"":""number"",""discard"":""number"",""discard-percent"":""number""},""required"":[""type""]}",
aws,Security,account,filter,s3-public-block,aws.account.filters.s3-public-block,Check for s3 public blocks on an account.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",s3:GetAccountPublicAccessBlock
aws,Security,account,filter,securityhub,aws.account.filters.securityhub,Filter an account depending on whether security hub is enabled or not.,"{""properties"":{""enabled"":""boolean""},""required"":[""type""]}",securityhub:DescribeHub
aws,Security,account,filter,service-limit,aws.account.filters.service-limit,Check if account's service limits are past a given threshold.,"{""properties"":{""threshold"":""number"",""refresh_period"":""integer"",""names"":""array"",""limits"":""array"",""services"":""array""},""required"":[""type""]}","support:DescribeTrustedAdvisorCheckRefreshStatuses,support:DescribeTrustedAdvisorCheckResult,support:DescribeTrustedAdvisorChecks,support:RefreshTrustedAdvisorCheck"
aws,Security,account,filter,ses-agg-send-stats,aws.account.filters.ses-agg-send-stats,This filter queries SES send statistics and aggregates all,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",ses:GetSendStatistics
aws,Security,account,filter,ses-send-stats,aws.account.filters.ses-send-stats,This filter annotates the account resource with SES send statistics for the,"{""properties"":{""days"":""number""},""required"":[""days"",""type""]}",ses:GetSendStatistics
aws,Security,account,filter,shield-enabled,aws.account.filters.shield-enabled,Parent base class for filters and actions.,"{""properties"":{""state"":""boolean""},""required"":[""type""]}",shield:DescribeSubscription
aws,Security,account,filter,value,aws.account.filters.value,Generic value filter using jmespath,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,Security,account,filter,xray-encrypt-key,aws.account.filters.xray-encrypt-key,Determine if xray is encrypted.,"{""properties"":{""key"":""string""},""required"":[""key"",""type""]}",xray:GetEncryptionConfig
aws,Security,account,action,enable-cloudtrail,aws.account.actions.enable-cloudtrail,Enables logging on the trail(s) named in the policy,"{""properties"":{""trail"":""string"",""bucket"":""string"",""bucket-region"":""string"",""multi-region"":""boolean"",""global-events"":""boolean"",""notify"":""string"",""file-digest"":""boolean"",""kms"":""boolean"",""kms-key"":""string""},""required"":[""bucket""]}","cloudtrail:CreateTrail,cloudtrail:DescribeTrails,cloudtrail:GetTrailStatus,cloudtrail:StartLogging,cloudtrail:UpdateTrail,s3:CreateBucket,s3:GetBucketPolicy,s3:PutBucketPolicy"
aws,Security,account,action,enable-data-events,aws.account.actions.enable-data-events,Ensure all buckets in account are setup to log data events.,"{""properties"":{""data-trail"":""object""},""required"":[""data-trail"",""type""]}",
aws,Security,account,action,post-finding,aws.account.actions.post-finding,Report a finding to AWS Security Hub.,"{""properties"":{""title"":""string"",""description"":""string"",""severity"":""number"",""severity_normalized"":""number"",""severity_label"":""string"",""confidence"":""number"",""criticality"":""number"",""region"":""string"",""recommendation"":""string"",""recommendation_url"":""string"",""fields"":""object"",""batch_size"":""integer"",""types"":""array"",""compliance_status"":""string"",""record_state"":""string""},""required"":[""types"",""type""]}",securityhub:BatchImportFindings
aws,Security,account,action,request-limit-increase,aws.account.actions.request-limit-increase,File support ticket to raise limit.,"{""properties"":{""percent-increase"":""number"",""amount-increase"":""number"",""minimum-increase"":""number"",""subject"":""string"",""message"":""string"",""notify"":""array"",""severity"":""string""}}",support:CreateCase
aws,Security,account,action,set-bedrock-model-invocation-logging,aws.account.actions.set-bedrock-model-invocation-logging,Set Bedrock Model Invocation Logging Configuration on an account.,"{""properties"":{""enabled"":""boolean"",""loggingConfig"":""object""}}",bedrock:PutModelInvocationLoggingConfiguration
aws,Security,account,action,set-ebs-encryption,aws.account.actions.set-ebs-encryption,Set AWS EBS default encryption on an account,"{""properties"":{""state"":""boolean"",""key"":""string""},""required"":[""type""]}","ec2:EnableEbsEncryptionByDefault,ec2:DisableEbsEncryptionByDefault"
aws,Security,account,action,set-emr-block-public-access,aws.account.actions.set-emr-block-public-access,Action to put/update the EMR block public access configuration for your,"{""properties"":{""config"":""object""},""required"":[""config""]}",elasticmapreduce:PutBlockPublicAccessConfiguration
aws,Security,account,action,set-password-policy,aws.account.actions.set-password-policy,Set an account's password policy.,"{""properties"":{""policy"":""object""},""required"":[""type""]}","iam:GetAccountPasswordPolicy,iam:UpdateAccountPasswordPolicy"
aws,Security,account,action,set-s3-public-block,aws.account.actions.set-s3-public-block,Configure S3 Public Access Block on an account.,"{""properties"":{""state"":""boolean"",""BlockPublicAcls"":""boolean"",""IgnorePublicAcls"":""boolean"",""BlockPublicPolicy"":""boolean"",""RestrictPublicBuckets"":""boolean""},""required"":[""type""]}","s3:PutAccountPublicAccessBlock,s3:GetAccountPublicAccessBlock"
aws,Security,account,action,set-shield-advanced,aws.account.actions.set-shield-advanced,Enable/disable Shield Advanced on an account.,"{""properties"":{""state"":""boolean""},""required"":[""type""]}","shield:CreateSubscription,shield:DeleteSubscription"
aws,Security,account,action,set-xray-encrypt,aws.account.actions.set-xray-encrypt,Enable specific xray encryption.,"{""properties"":{""key"":""string""},""required"":[""key"",""type""]}",xray:PutEncryptionConfig
aws,Security,account,action,toggle-config-managed-rule,aws.account.actions.toggle-config-managed-rule,Enables or disables an AWS Config Managed Rule,"{""properties"":{""enabled"":""boolean"",""rule_name"":""string"",""rule_prefix"":""string"",""managed_rule_id"":""string"",""resource_types"":""array"",""resource_tag"":""object"",""resource_id"":""string"",""rule_parameters"":""string"",""remediation"":""object"",""tags"":""object""},""required"":[""rule_name"",""type""]}","config:DescribeConfigRules,config:DescribeRemediationConfigurations,config:PutRemediationConfigurations,config:PutConfigRule"
aws,Security,account,action,webhook,aws.account.actions.webhook,Calls a webhook with optional parameters and body,"{""properties"":{""url"":""string"",""body"":""string"",""batch"":""boolean"",""batch-size"":""number"",""method"":""string"",""query-params"":""object"",""headers"":""object""},""required"":[""url"",""type""]}",
aws,Security,acm-certificate,filter,and,aws.acm-certificate.filters.and,Parent base class for filters and actions.,,
aws,Security,acm-certificate,filter,event,aws.acm-certificate.filters.event,Filter a resource based on an event.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,Security,acm-certificate,filter,list-item,aws.acm-certificate.filters.list-item,"Perform multi attribute filtering on items within a list,","{""properties"":{""key"":""string"",""attrs"":""#/definitions/filters_common/list_item_attrs"",""count"":""number"",""count_op"":""#/definitions/filters_common/comparison_operators""},""required"":[""type""]}",
aws,Security,acm-certificate,filter,marked-for-op,aws.acm-certificate.filters.marked-for-op,Filter resources for tag specified future action,"{""properties"":{""tag"":""string"",""tz"":""string"",""skew"":""number"",""skew_hours"":""number"",""op"":""string""},""required"":[""type""]}",
aws,Security,acm-certificate,filter,not,aws.acm-certificate.filters.not,Parent base class for filters and actions.,,
aws,Security,acm-certificate,filter,or,aws.acm-certificate.filters.or,Parent base class for filters and actions.,,
aws,Security,acm-certificate,filter,reduce,aws.acm-certificate.filters.reduce,"Generic reduce filter to group, sort, and limit your resources.","{""properties"":{""group-by"":""?"",""sort-by"":""?"",""order"":[""asc"",""desc"",""reverse"",""randomize""],""null-order"":[""first"",""last""],""limit"":""number"",""limit-percent"":""number"",""discard"":""number"",""discard-percent"":""number""},""required"":[""type""]}",
aws,Security,acm-certificate,filter,value,aws.acm-certificate.filters.value,Generic value filter using jmespath,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,Security,acm-certificate,action,auto-tag-user,aws.acm-certificate.actions.auto-tag-user,Tag a resource with the user who created/modified it.,"{""properties"":{""user-type"":""array"",""update"":""boolean"",""tag"":""string"",""principal_id_tag"":""string"",""value"":""string""},""required"":[""tag"",""type""]}",
aws,Security,acm-certificate,action,delete,aws.acm-certificate.actions.delete,Action to delete an ACM Certificate,"{""properties"":{},""required"":[""type""]}",acm:DeleteCertificate
aws,Security,acm-certificate,action,mark-for-op,aws.acm-certificate.actions.mark-for-op,Tag resources for future action.,"{""properties"":{""tag"":""string"",""msg"":""string"",""days"":""number"",""hours"":""number"",""tz"":""string"",""op"":""string""},""required"":[""type""]}",
aws,Security,acm-certificate,action,remove-tag,aws.acm-certificate.actions.remove-tag,Removes the specified tags from the specified resources.,"{""properties"":{""tags"":""array""},""required"":[""type""]}",tag:UntagResources
aws,Security,acm-certificate,action,rename-tag,aws.acm-certificate.actions.rename-tag,Rename an existing tag key to a new value.,"{""properties"":{""old_keys"":""array"",""old_key"":""string"",""new_key"":""string""},""required"":[""type""]}","tag:TagResources,tag:UntagResources"
aws,Security,acm-certificate,action,tag,aws.acm-certificate.actions.tag,Applies one or more tags to the specified resources.,"{""properties"":{""tags"":""object"",""key"":""string"",""value"":""string"",""tag"":""string""},""required"":[""type""]}",tag:TagResources
aws,Security,acm-certificate,action,webhook,aws.acm-certificate.actions.webhook,Calls a webhook with optional parameters and body,"{""properties"":{""url"":""string"",""body"":""string"",""batch"":""boolean"",""batch-size"":""number"",""method"":""string"",""query-params"":""object"",""headers"":""object""},""required"":[""url"",""type""]}",
aws,Monitoring,advisor-check,filter,and,aws.advisor-check.filters.and,Parent base class for filters and actions.,,
aws,Monitoring,advisor-check,filter,event,aws.advisor-check.filters.event,Filter a resource based on an event.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,Monitoring,advisor-check,filter,list-item,aws.advisor-check.filters.list-item,"Perform multi attribute filtering on items within a list,","{""properties"":{""key"":""string"",""attrs"":""#/definitions/filters_common/list_item_attrs"",""count"":""number"",""count_op"":""#/definitions/filters_common/comparison_operators""},""required"":[""type""]}",
aws,Monitoring,advisor-check,filter,marked-for-op,aws.advisor-check.filters.marked-for-op,Filter resources for tag specified future action,"{""properties"":{""tag"":""string"",""tz"":""string"",""skew"":""number"",""skew_hours"":""number"",""op"":""string""},""required"":[""type""]}",
aws,Monitoring,advisor-check,filter,not,aws.advisor-check.filters.not,Parent base class for filters and actions.,,
aws,Monitoring,advisor-check,filter,or,aws.advisor-check.filters.or,Parent base class for filters and actions.,,
aws,Monitoring,advisor-check,filter,reduce,aws.advisor-check.filters.reduce,"Generic reduce filter to group, sort, and limit your resources.","{""properties"":{""group-by"":""?"",""sort-by"":""?"",""order"":[""asc"",""desc"",""reverse"",""randomize""],""null-order"":[""first"",""last""],""limit"":""number"",""limit-percent"":""number"",""discard"":""number"",""discard-percent"":""number""},""required"":[""type""]}",
aws,Monitoring,advisor-check,filter,value,aws.advisor-check.filters.value,Generic value filter using jmespath,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,Monitoring,advisor-check,action,auto-tag-user,aws.advisor-check.actions.auto-tag-user,Tag a resource with the user who created/modified it.,"{""properties"":{""user-type"":""array"",""update"":""boolean"",""tag"":""string"",""principal_id_tag"":""string"",""value"":""string""},""required"":[""tag"",""type""]}",
aws,Monitoring,advisor-check,action,mark-for-op,aws.advisor-check.actions.mark-for-op,Tag resources for future action.,"{""properties"":{""tag"":""string"",""msg"":""string"",""days"":""number"",""hours"":""number"",""tz"":""string"",""op"":""string""},""required"":[""type""]}",
aws,Monitoring,advisor-check,action,remove-tag,aws.advisor-check.actions.remove-tag,Removes the specified tags from the specified resources.,"{""properties"":{""tags"":""array""},""required"":[""type""]}",tag:UntagResources
aws,Monitoring,advisor-check,action,rename-tag,aws.advisor-check.actions.rename-tag,Rename an existing tag key to a new value.,"{""properties"":{""old_keys"":""array"",""old_key"":""string"",""new_key"":""string""},""required"":[""type""]}","tag:TagResources,tag:UntagResources"
aws,Monitoring,advisor-check,action,tag,aws.advisor-check.actions.tag,Applies one or more tags to the specified resources.,"{""properties"":{""tags"":""object"",""key"":""string"",""value"":""string"",""tag"":""string""},""required"":[""type""]}",tag:TagResources
aws,Monitoring,advisor-check,action,webhook,aws.advisor-check.actions.webhook,Calls a webhook with optional parameters and body,"{""properties"":{""url"":""string"",""body"":""string"",""batch"":""boolean"",""batch-size"":""number"",""method"":""string"",""query-params"":""object"",""headers"":""object""},""required"":[""url"",""type""]}",
aws,AppServices,airflow,filter,and,aws.airflow.filters.and,Parent base class for filters and actions.,,
aws,AppServices,airflow,filter,event,aws.airflow.filters.event,Filter a resource based on an event.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,AppServices,airflow,filter,kms-key,aws.airflow.filters.kms-key,Filter a Managed Workflow for Apache Airflow environment by its associcated kms key,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string"",""match-resource"":""boolean"",""operator"":[""and"",""or""]},""required"":[""type""]}",
aws,AppServices,airflow,filter,list-item,aws.airflow.filters.list-item,"Perform multi attribute filtering on items within a list,","{""properties"":{""key"":""string"",""attrs"":""#/definitions/filters_common/list_item_attrs"",""count"":""number"",""count_op"":""#/definitions/filters_common/comparison_operators""},""required"":[""type""]}",
aws,AppServices,airflow,filter,marked-for-op,aws.airflow.filters.marked-for-op,Filter resources for tag specified future action,"{""properties"":{""tag"":""string"",""tz"":""string"",""skew"":""number"",""skew_hours"":""number"",""op"":""string""},""required"":[""type""]}",
aws,AppServices,airflow,filter,not,aws.airflow.filters.not,Parent base class for filters and actions.,,
aws,AppServices,airflow,filter,or,aws.airflow.filters.or,Parent base class for filters and actions.,,
aws,AppServices,airflow,filter,reduce,aws.airflow.filters.reduce,"Generic reduce filter to group, sort, and limit your resources.","{""properties"":{""group-by"":""?"",""sort-by"":""?"",""order"":[""asc"",""desc"",""reverse"",""randomize""],""null-order"":[""first"",""last""],""limit"":""number"",""limit-percent"":""number"",""discard"":""number"",""discard-percent"":""number""},""required"":[""type""]}",
aws,AppServices,airflow,filter,value,aws.airflow.filters.value,Generic value filter using jmespath,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,AppServices,airflow,action,delete-environment,aws.airflow.actions.delete-environment,Action to delete a Managed Workflow for Apache Airflow environment,"{""properties"":{},""required"":[""type""]}",airflow:DeleteEnvironment
aws,AppServices,airflow,action,mark-for-op,aws.airflow.actions.mark-for-op,Tag resources for future action.,"{""properties"":{""tag"":""string"",""msg"":""string"",""days"":""number"",""hours"":""number"",""tz"":""string"",""op"":""string""},""required"":[""type""]}",
aws,AppServices,airflow,action,remove-tag,aws.airflow.actions.remove-tag,Action to remove tag(s) on a Managed Workflow for Apache Airflow environment,"{""properties"":{""tags"":""array""},""required"":[""type""]}",airflow:UntagResource
aws,AppServices,airflow,action,tag,aws.airflow.actions.tag,Action to create tag(s) on a Managed Workflow for Apache Airflow environment,"{""properties"":{""tags"":""object"",""key"":""string"",""value"":""string"",""tag"":""string""},""required"":[""type""]}",airflow:TagResource
aws,AppServices,airflow,action,update-environment,aws.airflow.actions.update-environment,Action to update an Airflow environment to,"{""properties"":{""access_mode"":""string""},""required"":[""access_mode"",""type""]}",airflow:UpdateEnvironment
aws,AppServices,airflow,action,webhook,aws.airflow.actions.webhook,Calls a webhook with optional parameters and body,"{""properties"":{""url"":""string"",""body"":""string"",""batch"":""boolean"",""batch-size"":""number"",""method"":""string"",""query-params"":""object"",""headers"":""object""},""required"":[""url"",""type""]}",
aws,Monitoring,alarm,filter,and,aws.alarm.filters.and,Parent base class for filters and actions.,,
aws,Monitoring,alarm,filter,event,aws.alarm.filters.event,Filter a resource based on an event.,"{""properties"":{""key"":""string"",""value_type"":""#/definitions/filters_common/value_types"",""default"":""object"",""value_regex"":""string"",""value_from"":""#/definitions/filters_common/value_from"",""value"":""#/definitions/filters_common/value"",""op"":""#/definitions/filters_common/comparison_operators"",""value_path"":""string""},""required"":[""type""]}",
aws,Monitoring,alarm,filter,is-composite-child,aws.alarm.filters.is-composite-child,Parent base class for filters and actions.,"{""properties"":{""state"":""boolean""},""required"":[""type""]}",cloudwatch:DescribeAlarms
aws,Monitoring,alarm,filter,list-item,aws.alarm.filters.list-item,"Perform multi attribute filtering on items within a list,","{""properties"":{""key"":""string"",""attrs"":""#/definitions/filters_common/list_item_attrs"",""count"":""number"",""count_op"":""#/definitions/filters_common/comparison_operators""},""required"":[""type""]}",
aws,Monitoring,alarm,filter,marked-for-op,aws.alarm.filters.marked-for-op,Filter resources for tag specified future action,"{""properties"":{""tag"":""string"",""tz"":""string"",""skew"":""number"",""skew_hours"":""number"",""op"":""string""},""required"":[""type""]}",
aws,Monitoring,alarm,filter,not,aws.alarm.filters.not,Parent base class for filters and actions.,,
aws,Monitoring,alarm,filter,or,aws.alarm.filters.or,Parent base class for filters and actions.,,
aws,Monitoring,alarm,filter,reduce,aws.alarm.filters.reduce,"Generic reduce filter to group, sort, and limit your resources.","{""properties"":{""group-by"":""?"",""sort-by"":""?"",""order"":[""asc"",""desc"",""reverse"",""randomize""],""null-order"":[""first"",""last""],""limit"":""number"",""limit-percent"":""number"",""discard"":""number"",""discard-percent"":""number""},""required"":[""type""]}",
